run_number	pmt_id	pedestal	gain
100142	0	5827.200	6131.890
100142	1	5744.580	6054.390
100142	2	6356.340	6671.780
100142	3	3775.740	4082.720
100142	4	6253.490	6596.400
100142	5	4064.720	4457.800
100142	6	5588.980	5849.580
100142	7	3704.010	4020.550
100142	8	5990.840	6293.040
100142	9	4908.430	5209.430
100143	0	5833.160	6142.840
100143	1	5749.790	6077.580
100143	2	6359.570	6674.400
100143	3	3780.770	4099.460
100143	4	6251.980	6585.490
100143	5	4072.640	4450.200
100143	6	5595.130	5868.530
100143	7	3710.810	4020.740
100143	8	5991.720	6292.640
100143	9	4917.450	5208.220
100144	0	5835.500	6150.280
100144	1	5755.090	6067.260
100144	2	6360.530	6679.290
100144	3	3785.900	4106.650
100144	4	6258.490	6599.920
100144	5	4079.480	4464.360
100144	6	5598.790	5877.160
100144	7	3723.000	4046.610
100144	8	5993.520	6292.040
100144	9	4922.070	5203.310
100145	0	5813.560	6134.480
100145	1	5737.530	6054.940
100145	2	6352.240	6670.490
100145	3	3772.150	4089.800
100145	4	6244.910	6584.750
100145	5	4066.890	4465.770
100145	6	5578.300	5854.260
100145	7	3697.660	4019.800
100145	8	5990.540	6287.550
100145	9	4898.510	5165.580
100146	0	5830.010	6140.430
100146	1	5753.700	6071.190
100146	2	6362.580	6673.870
100146	3	3778.740	4091.590
100146	4	6249.800	6591.350
100146	5	4072.060	4456.340
100146	6	5602.020	5875.680
100146	7	3707.570	4031.530
100146	8	5998.800	6301.940
100146	9	4920.480	5180.550
100147	0	5828.930	6126.290
100147	1	5748.800	6054.690
100147	2	6359.860	6672.710
100147	3	3786.390	4090.510
100147	4	6255.910	6599.690
100147	5	4070.310	4437.820
100147	6	5601.720	5883.000
100147	7	3709.150	4027.040
100147	8	5999.550	6304.040
100147	9	4928.920	5220.320
100148	0	5834.530	6122.170
100148	1	5750.530	6065.160
100148	2	6357.050	6671.750
100148	3	3785.950	4094.220
100148	4	6258.010	6606.200
100148	5	4064.740	4433.620
100148	6	5594.770	5858.530
100148	7	3700.170	4013.930
100148	8	5997.540	6277.300
100148	9	4916.350	5197.260
100149	0	5825.010	6132.860
100149	1	5738.080	6061.760
100149	2	6348.260	6660.170
100149	3	3770.920	4071.350
100149	4	6240.930	6584.310
100149	5	4062.960	4445.740
100149	6	5579.560	5860.130
100149	7	3700.650	4014.270
100149	8	5993.840	6287.510
100149	9	4903.560	5197.020
100150	0	5836.690	6155.320
100150	1	5758.780	6061.280
100150	2	6367.040	6685.310
100150	3	3791.090	4102.660
100150	4	6262.610	6604.660
100150	5	4080.610	4471.830
100150	6	5605.280	5873.860
100150	7	3716.790	4047.810
100150	8	6001.230	6283.830
100150	9	4928.460	5214.060
100151	0	5825.400	6133.150
100151	1	5742.050	6051.160
100151	2	6354.750	6666.420
100151	3	3785.940	4093.000
100151	4	6251.860	6594.020
100151	5	4073.240	4457.590
100151	6	5595.730	5868.350
100151	7	3696.460	4007.680
100151	8	5999.470	6286.450
100151	9	4904.180	5186.060
100152	0	5847.370	6164.510
100152	1	5757.190	6058.830
100152	2	6357.210	6671.000
100152	3	3792.990	4101.160
100152	4	6265.560	6612.090
100152	5	4084.420	4472.500
100152	6	5609.180	5875.820
100152	7	3722.350	4044.220
100152	8	6003.490	6300.830
100152	9	4927.630	5207.770
100153	0	5836.500	6146.220
100153	1	5753.140	6058.980
100153	2	6363.230	6685.570
100153	3	3786.620	4104.680
100153	4	6263.800	6603.120
100153	5	4074.480	4462.530
100153	6	5603.550	5870.690
100153	7	3716.340	4044.610
100153	8	5999.060	6311.210
100153	9	4920.130	5212.850
100154	0	5835.450	6135.900
100154	1	5760.000	6083.290
100154	2	6364.950	6674.440
100154	3	3789.000	4092.030
100154	4	6255.780	6600.300
100154	5	4083.380	4478.170
100154	6	5614.460	5891.530
100154	7	3720.080	4036.180
100154	8	5995.790	6288.710
100154	9	4930.620	5224.970
100155	0	5836.740	6152.340
100155	1	5757.870	6088.150
100155	2	6367.900	6688.260
100155	3	3781.180	4100.820
100155	4	6256.970	6604.400
100155	5	4077.490	4469.540
100155	6	5610.720	5867.810
